Genename	Up	targetlog2	TFlog2	Down	targetlog2	TFlog2	Predict	Label
ITGAM	Up	-1.081319086	-0.199753404	Down	1.754785975	-0.141000051	1	1
KLF2	Up	-0.384544236	0.295501243	Down	0.422922888	0.296051142	1	1
KLF2	Up	-1.891666625	-0.199753404	Down	1.113340765	-0.141000051	1	1
LIF	Up	0.221218595	0.295501243	Down	-0.537838589	0.296051142	1	1
LIF	Up	0.458417363	-0.199753404	Down	-0.273265323	-0.141000051	1	1
LMNA	Up	0.140838792	0.295501243	Down	-0.105776645	0.296051142	1	1
LMNA	Up	1.237585137	-0.199753404	Down	-0.831289887	-0.141000051	1	1
MAFB	Up	-0.071963936	0.295501243	Down	0.43212371	0.296051142	1	1
MAFB	Up	-2.714899629	-0.199753404	Down	1.868415164	-0.141000051	1	1
MAP3K1	Up	-0.380595185	0.295501243	Down	0.250777048	0.296051142	1	1
MAP3K1	Up	-0.603251216	-0.199753404	Down	0.329580751	-0.141000051	1	1
MMP9	Up	0.21517297	0.295501243	Down	-1.299057071	0.296051142	1	1
MMP9	Up	4.042060682	-0.199753404	Down	-2.870491363	-0.141000051	1	1
MRC1	Up	-0.63585619	0.295501243	Down	0.348043692	0.296051142	1	1
MRC1	Up	-2.331848712	-0.199753404	Down	2.843311928	-0.141000051	1	1
NFATC1	Up	0.188960459	0.295501243	Down	-0.649817171	0.296051142	1	1
NFATC1	Up	3.05457174	-0.199753404	Down	-2.778634317	-0.141000051	1	1
NFKBIE	Up	-0.13757288	0.295501243	Down	0.232837414	0.296051142	1	1
NFKBIE	Up	2.357416857	-0.199753404	Down	-0.738950903	-0.141000051	1	1
NFKBIZ	Up	0.106680426	0.295501243	Down	0.38794244	0.296051142	1	1
NFKBIZ	Up	-0.269275632	-0.199753404	Down	0.186553802	-0.141000051	1	1
PRDM1	Up	0.113269215	0.295501243	Down	-0.548994247	0.296051142	1	1
PRDM1	Up	3.736279301	-0.199753404	Down	-3.245165748	-0.141000051	1	1
RB1	Up	-0.101740232	0.295501243	Down	0.396994595	0.296051142	1	1
RB1	Up	-0.781268965	-0.199753404	Down	0.590348032	-0.141000051	1	1
SDHB	Up	0.147006292	0.295501243	Down	-0.50254768	0.296051142	1	1
SDHB	Up	0.518518928	-0.199753404	Down	-0.409357809	-0.141000051	1	1
SOD2	Up	0.261796677	0.295501243	Down	-0.184936897	0.296051142	1	1
SOD2	Up	0.775976897	-0.199753404	Down	-0.08552727	-0.141000051	1	1
SRC	Up	0.185703916	0.295501243	Down	-0.700256159	0.296051142	1	1
SRC	Up	4.074901607	-0.199753404	Down	-2.576976767	-0.141000051	1	1
TANK	Up	0.274114402	0.295501243	Down	-0.459813599	0.296051142	1	1
TANK	Up	0.789712781	-0.199753404	Down	-0.424041214	-0.141000051	1	1
TLR2	Up	-0.053439256	0.295501243	Down	1.083291884	0.296051142	1	1
TLR2	Up	-0.681959789	-0.199753404	Down	1.105073051	-0.141000051	1	1
TLR6	Up	-0.355184968	0.295501243	Down	0.355626208	0.296051142	1	1
TLR6	Up	-1.210506216	-0.199753404	Down	1.335288813	-0.141000051	1	1
TNFAIP3	Up	0.079909002	0.295501243	Down	-0.314874585	0.296051142	1	1
TNFAIP3	Up	0.920086426	-0.199753404	Down	-0.123515584	-0.141000051	1	1
TNFSF9	Up	-0.143942416	0.295501243	Down	0.943984184	0.296051142	1	1
TNFSF9	Up	-1.41674938	-0.199753404	Down	1.412642749	-0.141000051	1	1
ACTB	Up	-0.03365978	0.295501243	Down	-0.034645744	0.296051142	1	0
ACTB	Up	-0.955278791	-0.199753404	Down	0.747092146	-0.141000051	1	0
AIRE	Up	0.0	0.295501243	Down	0.0	0.296051142	1	0
AIRE	Up	0.0	-0.199753404	Down	0.0	-0.141000051	1	0
AKT1	Up	-0.076787342	0.295501243	Down	-0.08991724	0.296051142	1	0
AKT1	Up	0.3175584	-0.199753404	Down	-0.293355014	-0.141000051	1	0
ALB	Up	0.0	0.295501243	Down	-0.007195501	0.296051142	1	0
ALB	Up	0.0	-0.199753404	Down	0.0	-0.141000051	1	0
ANXA5	Up	-0.078811784	0.295501243	Down	0.155795081	0.296051142	1	0
ANXA5	Up	-0.388870425	-0.199753404	Down	0.269470184	-0.141000051	1	0
APAF1	Up	-0.181921727	0.295501243	Down	0.184463434	0.296051142	1	0
APAF1	Up	0.322398956	-0.199753404	Down	-0.070870171	-0.141000051	1	0
APOE	Up	-0.437247461	0.295501243	Down	0.807112253	0.296051142	1	0
APOE	Up	-1.531244262	-0.199753404	Down	0.270344995	-0.141000051	1	0
BCL10	Up	0.103567417	0.295501243	Down	0.179727021	0.296051142	1	0
BCL10	Up	0.255322515	-0.199753404	Down	-0.191378313	-0.141000051	1	0
BCL2L1	Up	-0.639807579	0.295501243	Down	0.405034531	0.296051142	1	0
BCL2L1	Up	-2.851846809	-0.199753404	Down	2.861385334	-0.141000051	1	0
BCL2L11	Up	0.239998642	0.295501243	Down	-0.283783181	0.296051142	1	0
BCL2L11	Up	0.471765262	-0.199753404	Down	-0.778103486	-0.141000051	1	0
BCL3	Up	0.297675515	0.295501243	Down	-0.122380689	0.296051142	1	0
BCL3	Up	1.268799293	-0.199753404	Down	-0.834773272	-0.141000051	1	0
BCL6	Up	-0.229691682	0.295501243	Down	0.262374285	0.296051142	1	0
BCL6	Up	-0.968196874	-0.199753404	Down	-1.129301487	-0.141000051	1	0
BECN1	Up	0.10865249	0.295501243	Down	-0.035362046	0.296051142	1	0
BECN1	Up	-0.042274246	-0.199753404	Down	0.029866525	-0.141000051	1	0
BIRC2	Up	0.368553272	0.295501243	Down	-0.178855515	0.296051142	1	0
BIRC2	Up	1.057111467	-0.199753404	Down	-0.902981439	-0.141000051	1	0
BIRC3	Up	0.110768126	0.295501243	Down	0.16176636	0.296051142	1	0
BIRC3	Up	2.990144067	-0.199753404	Down	-1.238221655	-0.141000051	1	0
GADD45A	Up	-1.136611069	0.295501243	Down	0.24879521	0.296051142	1	0
GADD45A	Up	0.151968136	-0.199753404	Down	0.39211554	-0.141000051	1	0
GADD45B	Up	-0.321112982	0.295501243	Down	0.139845117	0.296051142	1	0
GADD45B	Up	1.178285378	-0.199753404	Down	-0.890191573	-0.141000051	1	0
GAPDH	Up	0.145151388	0.295501243	Down	0.025316905	0.296051142	1	0
GAPDH	Up	0.369512341	-0.199753404	Down	0.045001184	-0.141000051	1	0
GATA1	Up	1.293879437	0.295501243	Down	0.0	0.296051142	1	0
GATA1	Up	-0.027387912	-0.199753404	Down	-0.024358658	-0.141000051	1	0
GATA2	Up	-0.001053628	0.295501243	Down	0.004733478	0.296051142	1	0
GATA2	Up	1.320584926	-0.199753404	Down	-0.989952497	-0.141000051	1	0
GATA3	Up	1.180729388	0.295501243	Down	0.080755012	0.296051142	1	0
GATA3	Up	0.0	-0.199753404	Down	-0.027131486	-0.141000051	1	0
GBP2	Up	-0.001274566	0.295501243	Down	-0.015178852	0.296051142	1	0
GBP2	Up	0.471577085	-0.199753404	Down	0.167699942	-0.141000051	1	0
HIF1A	Up	0.072699004	0.295501243	Down	0.332907414	0.296051142	1	0
HIF1A	Up	-0.235883059	-0.199753404	Down	0.407207831	-0.141000051	1	0
HIST2H2BE	Up	0.160028006	0.295501243	Down	-0.537722907	0.296051142	1	0
HIST2H2BE	Up	0.072061438	-0.199753404	Down	-0.207434127	-0.141000051	1	0
HIVEP1	Up	0.090862098	0.295501243	Down	0.010186552	0.296051142	1	0
HIVEP1	Up	0.509251608	-0.199753404	Down	-0.293182675	-0.141000051	1	0
